BAT 2026 con DTE: 522
con descuadre: 11/522 | $ total descuadre: 336,792

factura          state          odoo        dte  descuadre
  FAC 17202988     draft       511,979    466,522     45,457
  FAC 17083566     draft       491,771    448,105     43,666
  FAC 17083498     draft       468,920    427,275     41,645
  FAC 17083442     draft       466,609    425,200     41,409
  FAC 17202991     draft       420,997    383,636     37,361
  FAC 17379773     draft       383,577    349,526     34,051
  FAC 17202996     draft       369,753    336,941     32,812
  FAC 17202995     draft       367,597    334,988     32,609
  FAC 17263580     draft       345,322    318,072     27,250
  FAC 16710324     posted    3,289,226  3,288,696        530
  FAC 16809903     posted       56,506     56,508         -2
  FAC 17263581     posted       35,950     35,949          1
  FAC 17301966     draft        35,950     35,949          1
  FAC 17301971     draft        35,950     35,949          1
  FAC 17301968     draft        35,950     35,949          1
  FAC 17222192     draft        35,950     35,949          1
  FAC 17379774     draft        35,950     35,949          1
  FAC 17083374     draft        35,950     35,949          1
  FAC 16820191     posted      528,974    528,973          1
  FAC 16860057     posted       11,983     11,984         -1
